region;departamento;codigo_departamento;municipio;codigo_municipio
Región Caribe;Archipiélago de San Andrés, Providencia y Santa Catalina;88;Providencia;564
Región Caribe;Archipiélago de San Andrés, Providencia y Santa Catalina;88;San Andrés;001
Región Caribe;Atlántico;08;Baranoa;078
Región Caribe;Atlántico;08;Barranquilla;001
Región Caribe;Atlántico;08;Campo de La Cruz;137
Región Caribe;Atlántico;08;Candelaria;141
Región Caribe;Atlántico;08;Galapa;296
Región Caribe;Atlántico;08;Juan de Acosta;372
Región Caribe;Atlántico;08;Luruaco;421
Región Caribe;Atlántico;08;Malambo;433
Región Caribe;Atlántico;08;Manatí;436
Región Caribe;Atlántico;08;Palmar de Varela;520
Región Caribe;Atlántico;08;Piojó;549
Región Caribe;Atlántico;08;Polonuevo;558
Región Caribe;Atlántico;08;Ponedera;560
Región Caribe;Atlántico;08;Puerto Colombia;573
Región Caribe;Atlántico;08;Repelón;606
Región Caribe;Atlántico;08;Sabanagrande;634
Región Caribe;Atlántico;08;Sabanalarga;638
Región Caribe;Atlántico;08;Santa Lucía;675
Región Caribe;Atlántico;08;Santo Tomás;685
Región Caribe;Atlántico;08;Soledad;758
Región Caribe;Atlántico;08;Suan;770
Región Caribe;Atlántico;08;Tubará;832
Región Caribe;Atlántico;08;Usiacurí;849
Región Caribe;Bolívar;13;Achí;006
Región Caribe;Bolívar;13;Altos del Rosario;030
Región Caribe;Bolívar;13;Arenal;042
Región Caribe;Bolívar;13;Arjona;052
Región Caribe;Bolívar;13;Arroyohondo;062
Región Caribe;Bolívar;13;Barranco de Loba;074
Región Caribe;Bolívar;13;Calamar;140
Región Caribe;Bolívar;13;Cantagallo;160
Región Caribe;Bolívar;13;Cartagena;001
Región Caribe;Bolívar;13;Cicuco;188
Región Caribe;Bolívar;13;Clemencia;222
Región Caribe;Bolívar;13;Córdoba;212
Región Caribe;Bolívar;13;El Carmen de Bolívar;244
Región Caribe;Bolívar;13;El Guamo;248
Región Caribe;Bolívar;13;El Peñón;268
Región Caribe;Bolívar;13;Hatillo de Loba;300
Región Caribe;Bolívar;13;Magangué;430
Región Caribe;Bolívar;13;Mahates;433
Región Caribe;Bolívar;13;Margarita;440
Región Caribe;Bolívar;13;María la Baja;442
Región Caribe;Bolívar;13;Mompós;468
Región Caribe;Bolívar;13;Montecristo;458
Región Caribe;Bolívar;13;Morales;473
Región Caribe;Bolívar;13;Norosí;490
Región Caribe;Bolívar;13;Pinillos;549
Región Caribe;Bolívar;13;Regidor;580
Región Caribe;Bolívar;13;Río Viejo;600
Región Caribe;Bolívar;13;San Cristóbal;620
Región Caribe;Bolívar;13;San Estanislao;647
Región Caribe;Bolívar;13;San Fernando;650
Región Caribe;Bolívar;13;San Jacinto;654
Región Caribe;Bolívar;13;San Jacinto del Cauca;655
Región Caribe;Bolívar;13;San Juan Nepomuceno;657
Región Caribe;Bolívar;13;San Martín de Loba;667
Región Caribe;Bolívar;13;San Pablo de Borbur;670
Región Caribe;Bolívar;13;Santa Catalina;673
Región Caribe;Bolívar;13;Santa Rosa;683
Región Caribe;Bolívar;13;Santa Rosa del Sur;688
Región Caribe;Bolívar;13;Simití;744
Región Caribe;Bolívar;13;Soplaviento;760
Región Caribe;Bolívar;13;Talaigua Nuevo;780
Región Caribe;Bolívar;13;Tiquisio;810
Región Caribe;Bolívar;13;Turbaco;836
Región Caribe;Bolívar;13;Turbaná;838
Región Caribe;Bolívar;13;Villanueva;873
Región Caribe;Bolívar;13;Zambrano;894
Región Caribe;Cesar;20;Aguachica;011
Región Caribe;Cesar;20;Agustín Codazzi;013
Región Caribe;Cesar;20;Astrea;032
Región Caribe;Cesar;20;Becerril;045
Región Caribe;Cesar;20;Bosconia;060
Región Caribe;Cesar;20;Chimichagua;175
Región Caribe;Cesar;20;Chiriguaná;178
Región Caribe;Cesar;20;Curumaní;228
Región Caribe;Cesar;20;El Copey;238
Región Caribe;Cesar;20;El Paso;250
Región Caribe;Cesar;20;Gamarra;295
Región Caribe;Cesar;20;González;310
Región Caribe;Cesar;20;La Gloria;383
Región Caribe;Cesar;20;La Jagua de Ibirico;400
Región Caribe;Cesar;20;La Paz;621
Región Caribe;Cesar;20;Manaure;443
Región Caribe;Cesar;20;Pailitas;517
Región Caribe;Cesar;20;Pelaya;550
Región Caribe;Cesar;20;Pueblo Bello;570
Región Caribe;Cesar;20;Río de Oro;614
Región Caribe;Cesar;20;San Alberto;710
Región Caribe;Cesar;20;San Diego;750
Región Caribe;Cesar;20;San Martín;770
Región Caribe;Cesar;20;Tamalameque;787
Región Caribe;Cesar;20;Valledupar;001
Región Caribe;Córdoba;23;Ayapel;068
Región Caribe;Córdoba;23;Buenavista;079
Región Caribe;Córdoba;23;Canalete;090
Región Caribe;Córdoba;23;Cereté;162
Región Caribe;Córdoba;23;Chimá;168
Región Caribe;Córdoba;23;Chinú;182
Región Caribe;Córdoba;23;Ciénaga de Oro;189
Región Caribe;Córdoba;23;Cotorra;300
Región Caribe;Córdoba;23;La Apartada;350
Región Caribe;Córdoba;23;Lorica;417
Región Caribe;Córdoba;23;Los Córdobas;419
Región Caribe;Córdoba;23;Momil;464
Región Caribe;Córdoba;23;Montelíbano;466
Región Caribe;Córdoba;23;Montería;001
Región Caribe;Córdoba;23;Moñitos;500
Región Caribe;Córdoba;23;Planeta Rica;555
Región Caribe;Córdoba;23;Pueblo Nuevo;570
Región Caribe;Córdoba;23;Puerto Escondido;574
Región Caribe;Córdoba;23;Puerto Libertador;580
Región Caribe;Córdoba;23;Purísima;586
Región Caribe;Córdoba;23;Sahagún;660
Región Caribe;Córdoba;23;San Andrés Sotavento;670
Región Caribe;Córdoba;23;San Antero;672
Región Caribe;Córdoba;23;San Bernardo del Viento;675
Región Caribe;Córdoba;23;San Carlos;678
Región Caribe;Córdoba;23;San José de Uré;682
Región Caribe;Córdoba;23;San Pelayo;686
Región Caribe;Córdoba;23;Tierralta;807
Región Caribe;Córdoba;23;Tuchín;815
Región Caribe;Córdoba;23;Valencia;855
Región Caribe;La Guajira;44;Albania;035
Región Caribe;La Guajira;44;Barrancas;078
Región Caribe;La Guajira;44;Dibula;090
Región Caribe;La Guajira;44;Distracción;098
Región Caribe;La Guajira;44;El Molino;110
Región Caribe;La Guajira;44;Fonseca;279
Región Caribe;La Guajira;44;Hatonuevo;378
Región Caribe;La Guajira;44;La Jagua del Pilar;420
Región Caribe;La Guajira;44;Maicao;430
Región Caribe;La Guajira;44;Manaure;560
Región Caribe;La Guajira;44;Riohacha;001
Región Caribe;La Guajira;44;San Juan del Cesar;650
Región Caribe;La Guajira;44;Uribia;847
Región Caribe;La Guajira;44;Urumita;855
Región Caribe;La Guajira;44;Villanueva;874
Región Caribe;Magdalena;47;Algarrobo;030
Región Caribe;Magdalena;47;Aracataca;053
Región Caribe;Magdalena;47;Ariguaní;058
Región Caribe;Magdalena;47;Cerro San Antonio;161
Región Caribe;Magdalena;47;Chivolo;170
Región Caribe;Magdalena;47;Ciénaga;189
Región Caribe;Magdalena;47;Concordia;205
Región Caribe;Magdalena;47;El Banco;245
Región Caribe;Magdalena;47;El Piñon;258
Región Caribe;Magdalena;47;El Retén;268
Región Caribe;Magdalena;47;Fundación;288
Región Caribe;Magdalena;47;Guamal;318
Región Caribe;Magdalena;47;Nueva Granada;460
Región Caribe;Magdalena;47;Pedraza;541
Región Caribe;Magdalena;47;Pijiño del Carmen;545
Región Caribe;Magdalena;47;Pivijay;551
Región Caribe;Magdalena;47;Plato;555
Región Caribe;Magdalena;47;Pueblo Viejo;570
Región Caribe;Magdalena;47;Remolino;605
Región Caribe;Magdalena;47;Sabanas de San Angel;660
Región Caribe;Magdalena;47;Salamina;675
Región Caribe;Magdalena;47;San Sebastián de Buenavista;692
Región Caribe;Magdalena;47;San Zenón;703
Región Caribe;Magdalena;47;Santa Ana;707
Región Caribe;Magdalena;47;Santa Bárbara de Pinto;720
Región Caribe;Magdalena;47;Santa Marta;001
Región Caribe;Magdalena;47;Sitionuevo;745
Región Caribe;Magdalena;47;Tenerife;798
Región Caribe;Magdalena;47;Zapayán;960
Región Caribe;Magdalena;47;Zona Bananera;980
Región Caribe;Sucre;70;Buenavista;110
Región Caribe;Sucre;70;Caimito;124
Región Caribe;Sucre;70;Chalán;230
Región Caribe;Sucre;70;Coloso;204
Región Caribe;Sucre;70;Corozal;215
Región Caribe;Sucre;70;Coveñas;221
Región Caribe;Sucre;70;El Roble;233
Región Caribe;Sucre;70;Galeras;235
Región Caribe;Sucre;70;Guaranda;265
Región Caribe;Sucre;70;La Unión;400
Región Caribe;Sucre;70;Los Palmitos;418
Región Caribe;Sucre;70;Majagual;429
Región Caribe;Sucre;70;Morroa;473
Región Caribe;Sucre;70;Ovejas;508
Región Caribe;Sucre;70;Palmito;523
Región Caribe;Sucre;70;Sampués;670
Región Caribe;Sucre;70;San Benito Abad;678
Región Caribe;Sucre;70;San Juan de Betulia;702
Región Caribe;Sucre;70;San Luis de Sincé;742
Región Caribe;Sucre;70;San Marcos;708
Región Caribe;Sucre;70;San Onofre;713
Región Caribe;Sucre;70;San Pedro;717
Región Caribe;Sucre;70;Santiago de Tolú;820
Región Caribe;Sucre;70;Sincelejo;001
Región Caribe;Sucre;70;Sucre;771
Región Caribe;Sucre;70;Tolú Viejo;823
Región Centro Oriente;Bogotá D.C.;11;Bogotá D.C.;001
Región Centro Oriente;Boyacá;15;Almeida;022
Región Centro Oriente;Boyacá;15;Aquitania;047
Región Centro Oriente;Boyacá;15;Arcabuco;051
Región Centro Oriente;Boyacá;15;Belén;087
Región Centro Oriente;Boyacá;15;Berbeo;090
Región Centro Oriente;Boyacá;15;Betéitiva;092
Región Centro Oriente;Boyacá;15;Boavita;097
Región Centro Oriente;Boyacá;15;Boyacá;104
Región Centro Oriente;Boyacá;15;Briceño;106
Región Centro Oriente;Boyacá;15;Buena Vista;109
Región Centro Oriente;Boyacá;15;Busbanzá;114
Región Centro Oriente;Boyacá;15;Caldas;131
Región Centro Oriente;Boyacá;15;Campohermoso;135
Región Centro Oriente;Boyacá;15;Cerinza;162
Región Centro Oriente;Boyacá;15;Chinavita;172
Región Centro Oriente;Boyacá;15;Chiquinquirá;176
Región Centro Oriente;Boyacá;15;Chíquiza;232
Región Centro Oriente;Boyacá;15;Chiscas;180
Región Centro Oriente;Boyacá;15;Chita;183
Región Centro Oriente;Boyacá;15;Chitaraque;185
Región Centro Oriente;Boyacá;15;Chivatá;187
Región Centro Oriente;Boyacá;15;Chivor;236
Región Centro Oriente;Boyacá;15;Ciénega;189
Región Centro Oriente;Boyacá;15;Cómbita;204
Región Centro Oriente;Boyacá;15;Coper;212
Región Centro Oriente;Boyacá;15;Corrales;215
Región Centro Oriente;Boyacá;15;Covarachía;218
Región Centro Oriente;Boyacá;15;Cubará;223
Región Centro Oriente;Boyacá;15;Cucaita;224
Región Centro Oriente;Boyacá;15;Cuítiva;226
Región Centro Oriente;Boyacá;15;Duitama;238
Región Centro Oriente;Boyacá;15;El Cocuy;244
Región Centro Oriente;Boyacá;15;El Espino;248
Región Centro Oriente;Boyacá;15;Firavitoba;272
Región Centro Oriente;Boyacá;15;Floresta;276
Región Centro Oriente;Boyacá;15;Gachantivá;293
Región Centro Oriente;Boyacá;15;Gameza;296
Región Centro Oriente;Boyacá;15;Garagoa;299
Región Centro Oriente;Boyacá;15;Guacamayas;317
Región Centro Oriente;Boyacá;15;Guateque;322
Región Centro Oriente;Boyacá;15;Guayatá;325
Región Centro Oriente;Boyacá;15;Güicán;332
Región Centro Oriente;Boyacá;15;Iza;362
Región Centro Oriente;Boyacá;15;Jenesano;367
Región Centro Oriente;Boyacá;15;Jericó;368
Región Centro Oriente;Boyacá;15;La Capilla;380
Región Centro Oriente;Boyacá;15;La Uvita;403
Región Centro Oriente;Boyacá;15;La Victoria;401
Región Centro Oriente;Boyacá;15;Labranzagrande;377
Región Centro Oriente;Boyacá;15;Macanal;425
Región Centro Oriente;Boyacá;15;Maripí;442
Región Centro Oriente;Boyacá;15;Miraflores;455
Región Centro Oriente;Boyacá;15;Mongua;464
Región Centro Oriente;Boyacá;15;Monguí;466
Región Centro Oriente;Boyacá;15;Moniquirá;469
Región Centro Oriente;Boyacá;15;Motavita;476
Región Centro Oriente;Boyacá;15;Muzo;480
Región Centro Oriente;Boyacá;15;Nobsa;491
Región Centro Oriente;Boyacá;15;Nuevo Colón;494
Región Centro Oriente;Boyacá;15;Oicatá;500
Región Centro Oriente;Boyacá;15;Otanche;507
Región Centro Oriente;Boyacá;15;Pachavita;511
Región Centro Oriente;Boyacá;15;Páez;514
Región Centro Oriente;Boyacá;15;Paipa;516
Región Centro Oriente;Boyacá;15;Pajarito;518
Región Centro Oriente;Boyacá;15;Panqueba;522
Región Centro Oriente;Boyacá;15;Pauna;531
Región Centro Oriente;Boyacá;15;Paya;533
Región Centro Oriente;Boyacá;15;Paz de Río;537
Región Centro Oriente;Boyacá;15;Pesca;542
Región Centro Oriente;Boyacá;15;Pisba;550
Región Centro Oriente;Boyacá;15;Puerto Boyacá;572
Región Centro Oriente;Boyacá;15;Quípama;580
Región Centro Oriente;Boyacá;15;Ramiriquí;599
Región Centro Oriente;Boyacá;15;Ráquira;600
Región Centro Oriente;Boyacá;15;Rondón;621
Región Centro Oriente;Boyacá;15;Saboyá;632
Región Centro Oriente;Boyacá;15;Sáchica;638
Región Centro Oriente;Boyacá;15;Samacá;646
Región Centro Oriente;Boyacá;15;San Eduardo;660
Región Centro Oriente;Boyacá;15;San José de Pare;664
Región Centro Oriente;Boyacá;15;San Luis de Gaceno;667
Región Centro Oriente;Boyacá;15;San Mateo;673
Región Centro Oriente;Boyacá;15;San Miguel de Sema;676
Región Centro Oriente;Boyacá;15;San Pablo de Borbur;681
Región Centro Oriente;Boyacá;15;Socha;757
Región Centro Oriente;Boyacá;15;Santa María;690
Región Centro Oriente;Boyacá;15;Santa Rosa de Viterbo;693
Región Centro Oriente;Boyacá;15;Santa Sofía;696
Región Centro Oriente;Boyacá;15;Santana;686
Región Centro Oriente;Boyacá;15;Sativanorte;720
Región Centro Oriente;Boyacá;15;Sativasur;723
Región Centro Oriente;Boyacá;15;Siachoque;740
Región Centro Oriente;Boyacá;15;Soatá;753
Región Centro Oriente;Boyacá;15;Socotá;755
Región Centro Oriente;Boyacá;15;Sogamoso;759
Región Centro Oriente;Boyacá;15;Somondoco;761
Región Centro Oriente;Boyacá;15;Sora;762
Región Centro Oriente;Boyacá;15;Soracá;764
Región Centro Oriente;Boyacá;15;Sotaquirá;763
Región Centro Oriente;Boyacá;15;Susacón;774
Región Centro Oriente;Boyacá;15;Sutamarchán;776
Región Centro Oriente;Boyacá;15;Sutatenza;778
Región Centro Oriente;Boyacá;15;Tasco;790
Región Centro Oriente;Boyacá;15;Tenza;798
Región Centro Oriente;Boyacá;15;Tibaná;804
Región Centro Oriente;Boyacá;15;Tibasosa;806
